name,price,quantity,brand,category,entry_date
Practice Time,72.23,90,Soylent,Home,2024-11-26
Agreement Car,47.75,12,Umbrella,Home,2024-10-18
Until Instead,6.9,91,Initech,Toys,2025-05-02
Camera Although,343.98,28,Initech,Home,2024-11-20
Address Police,384.08,74,Initech,Electronics,2025-07-07
Four In,362.84,58,Acme,Electronics,2024-09-24
Employee Enough,336.49,84,Soylent,Toys,2025-02-13
Near Above,28.74,9,Acme,Home,2025-06-06
Student Explain,429.51,54,Soylent,Books,2024-12-18
Contain Fire,59.28,11,Soylent,Electronics,2025-03-01
Employee Enjoy,404.96,94,Acme,Toys,2024-12-24
Parent Arrive,19.63,14,Soylent,Clothing,2024-09-01
Whatever Risk,403.39,100,Umbrella,Home,2025-03-20
Push Amount,103.6,89,Globex,Electronics,2025-05-06
Social Together,329.11,63,Acme,Electronics,2024-09-30
Model Speech,146.24,56,Initech,Clothing,2024-10-05
Alone Difference,236.03,27,Globex,Home,2024-11-19
Relate Cell,179.84,37,Globex,Home,2024-08-04
All A,61.25,51,Initech,Clothing,2025-04-04
Along Nature,92.72,35,Umbrella,Books,2024-12-09
Pass Room,160.74,33,Umbrella,Toys,2025-01-19
Power Each,225.76,59,Umbrella,Books,2025-02-01
Ten Voice,62.98,87,Initech,Books,2024-10-14
Macbook Air,12000,5,Apple,Electronic,2025-07-23
Macbook Air,12000,5,Apple,Electronic,2025-07-23
Macbook Air,12000,5,Apple,Electronic,2025-07-23
iPhone 15 Pro,22000,5,Apple,Electronic,2025-07-27 16:44:57
